@relation weka-test

@attribute domain_digit_count numeric
@attribute subdomain_digit_count numeric
@attribute path_digit_count numeric
@attribute domain_length numeric
@attribute subdomain_length numeric
@attribute path_length numeric
@attribute isKnownTld numeric
@attribute www numeric
@attribute com numeric
@attribute punnyCode numeric
@attribute random_domain numeric
@attribute subDomainCount numeric
@attribute char_repeat numeric
@attribute alexa1m_tld numeric
@attribute alexa1m numeric
@attribute - numeric
@attribute . numeric
@attribute / numeric
@attribute @ numeric
@attribute ? numeric
@attribute & numeric
@attribute = numeric
@attribute _ numeric
@attribute domain_in_brand_list numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 36 numeric
@attribute 37 numeric
@attribute 38 numeric
@attribute 39 numeric
@attribute 40 numeric
@attribute 41 numeric
@attribute 42 numeric
@attribute 43 numeric
@attribute 44 numeric
@attribute 45 numeric
@attribute 46 numeric
@attribute 47 numeric
@attribute 48 numeric
@attribute 49 numeric
@attribute 50 numeric
@attribute 51 numeric
@attribute 52 numeric
@attribute 53 numeric
@attribute 54 numeric
@attribute 55 numeric
@attribute 56 numeric
@attribute 57 numeric
@attribute 58 numeric
@attribute 59 numeric
@attribute 60 numeric
@attribute 61 numeric
@attribute 62 numeric
@attribute 63 numeric
@attribute 64 numeric
@attribute 65 numeric
@attribute 66 numeric
@attribute 67 numeric
@attribute 68 numeric
@attribute 69 numeric
@attribute 70 numeric
@attribute 71 numeric
@attribute 72 numeric
@attribute 73 numeric
@attribute 74 numeric
@attribute 75 numeric
@attribute 76 numeric
@attribute 77 numeric
@attribute 78 numeric
@attribute 79 numeric
@attribute 80 numeric
@attribute 81 numeric
@attribute 82 numeric
@attribute 83 numeric
@attribute 84 numeric
@attribute 85 numeric
@attribute 86 numeric
@attribute 87 numeric
@attribute 88 numeric
@attribute 89 numeric
@attribute 90 numeric
@attribute 91 numeric
@attribute 92 numeric
@attribute 93 numeric
@attribute 94 numeric
@attribute 95 numeric
@attribute 96 numeric
@attribute 97 numeric
@attribute 98 numeric
@attribute 99 numeric
@attribute 100 numeric
@attribute 101 numeric
@attribute 102 numeric
@attribute 103 numeric
@attribute 104 numeric
@attribute 105 numeric
@attribute 106 numeric
@attribute 107 numeric
@attribute 108 numeric
@attribute 109 numeric
@attribute 110 numeric
@attribute 111 numeric
@attribute 112 numeric
@attribute 113 numeric
@attribute 114 numeric
@attribute 115 numeric
@attribute 116 numeric
@attribute 117 numeric
@attribute 118 numeric
@attribute 119 numeric
@attribute 120 numeric
@attribute 121 numeric
@attribute 122 numeric
@attribute 123 numeric
@attribute 124 numeric
@attribute 125 numeric
@attribute 126 numeric
@attribute 127 numeric
@attribute 128 numeric
@attribute 129 numeric
@attribute 130 numeric
@attribute 131 numeric
@attribute 132 numeric
@attribute 133 numeric
@attribute 134 numeric
@attribute 135 numeric
@attribute 136 numeric
@attribute 137 numeric
@attribute 138 numeric
@attribute 139 numeric
@attribute 140 numeric
@attribute 141 numeric
@attribute 142 numeric
@attribute 143 numeric
@attribute 144 numeric
@attribute 145 numeric
@attribute 146 numeric
@attribute 147 numeric
@attribute 148 numeric
@attribute 149 numeric
@attribute 150 numeric
@attribute 151 numeric
@attribute 152 numeric
@attribute 153 numeric
@attribute 154 numeric
@attribute 155 numeric
@attribute 156 numeric
@attribute 157 numeric
@attribute 158 numeric
@attribute 159 numeric
@attribute 160 numeric
@attribute 161 numeric
@attribute 162 numeric
@attribute 163 numeric
@attribute 164 numeric
@attribute 165 numeric
@attribute 166 numeric
@attribute 167 numeric
@attribute 168 numeric
@attribute 169 numeric
@attribute 170 numeric
@attribute 171 numeric
@attribute 172 numeric
@attribute 173 numeric
@attribute 174 numeric
@attribute 175 numeric
@attribute 176 numeric
@attribute raw_word_count numeric
@attribute splitted_word_count numeric
@attribute average_word_length numeric
@attribute longest_word_length numeric
@attribute shortest_word_length numeric
@attribute std_word_length numeric
@attribute compound_word_count numeric
@attribute keyword_count numeric
@attribute brand_name_count numeric
@attribute negligible_word_count numeric
@attribute target_brand_count numeric
@attribute target_keyword_count numeric
@attribute similar_keyword_count numeric
@attribute similar_brand_count numeric
@attribute average_compound_words numeric
@attribute random_words numeric
@attribute class {phish, legitimate}

@data
0,0,0,11,3,32,1,1,0,0,0,1,3,0,0,4,0,2,0,0,0,0,0,0,1,0,3,11,19,15,1,0,3,11,19,15,3,3.0,0.0,11,11.0,0.0,18.9375,19.0,0.24593468841898236,15,15.0,0.0,3,3,0.0,11,11,0.0,19,19,0.0,15,15,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003519928452748753,0.6186560667149757,0.6186597197545072,0.5792529026542977,0.5792561297732091,0.24580654761692208,0.28677768668474685,0.2977261276085233,0.1704079350452402,0.17035250735101856,0.17041131595928055,0.61543413732621,0.6154270277885289,0.5760522497142097,0.5760683948571492,0.24927840760840322,0.29024377880255503,0.30121892931156685,0.16684787236044096,0.16686546302785324,0.16685285941784367,9.880380081519638e-07,0.04342972638588971,0.04344470696945136,0.8302295432855344,0.8636683915331227,0.8724956567411315,0.46090658015065916,0.460904291298534,0.46090642859859565,0.043428392572775414,0.043428291966398296,0.8302354176427135,0.8636665459269802,0.8724846793930275,0.4609055775635817,0.46090671227696983,0.4609030429218735,1.4573853674654777e-05,0.794673331119471,0.8288481345434633,0.8378888251685378,0.41963045750868444,0.4196307382480194,0.41963086977463687,0.7946852006590617,0.8288656268889015,0.8378825676958502,0.41963101898737815,0.4196299706364248,0.4196304948118627,0.04174678474255539,0.052917594577292164,0.4117832062987749,0.4117821972490355,0.4117812799321358,0.011172874809635715,0.4515345710481333,0.4515458548849185,0.4515246459140979,0.46210845622344526,0.46211511695666413,0.46211984770529785,0.0,0.0,0.0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,13,32,0,0,13,32,0,0,0,0,0,13,0,1,1,6,3,5.666666666666667,11,2,2.8087165910587863,2,0,0,6,0,1,1,0,9.0,0,phish
0,0,0,9,3,23,1,1,0,0,0,1,3,0,0,2,1,1,0,0,0,0,0,0,1,1,3,9,17,13,1,1,3,9,17,13,3,3.0,0.0,9,9.0,0.0,17.126582278481013,17.0,0.78791975742619,13,13.0,0.0,3,3,0.0,9,9,0.0,19.526315789473685,20,1.1239029738980326,13,13,0.0,3,3,0.0,9.846153846153847,10,3.057934194593065,21.523076923076925,24,4.384303295235788,13.923076923076923,14,3.0171783813051865,2.6666666666666665,3,0.7071067811865476,7.555555555555555,8,1.509230856356236,13.333333333333334,15,5.291502622129181,10,11,3.9370039370059056,0.15262060879798947,0.6026653814407658,0.6036882967862156,0.5599149040694713,0.5599031519160912,0.2554195224804881,0.69319346803677,0.6933177927749963,0.3799721516587364,0.3103165786050147,0.21592240803755722,0.4626907184865755,0.46380237821917414,0.4154759705642159,0.41815331273299894,0.40247617626943405,0.5552662918788378,0.5552828562780932,0.5254259278063599,0.45581655461970516,0.3664873992975783,0.0011232621990799798,0.04696391662085532,0.04695309309884305,0.8238651705933784,0.10251736995021193,0.10255254312843179,0.92302735263601,0.8686903017214063,0.7909301284469137,0.048066669736122634,0.048061463736242524,0.8247821720142134,0.1013977744632073,0.10141407735259445,0.9238648396962216,0.8695823893591104,0.7918492682767205,2.2276176930614048e-05,0.7852426432411163,0.14924666219244861,0.14928377690451497,0.8870778064295869,0.8311737003841672,0.7515846137554021,0.7852306788645602,0.14923232308860632,0.14925145135425086,0.8870754914711189,0.8311375699413013,0.7515794142713884,0.9041122074839855,0.9042719416978648,0.1281660128334985,0.055908490696215576,0.04013184653693596,0.0002525860631257879,0.9969817816325349,0.9463347101285586,0.8729637691197828,0.9971605801211858,0.9464994072167124,0.8730981384230965,0.07248468829045664,0.16795680978727745,0.09601128044163613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,19,158,65,9,19,158,0,0,0,0,0,20,0,1,1,4,3,6.25,9,4,1.920286436967152,2,0,0,5,0,0,0,0,8.0,0,phish
0,0,0,9,3,35,1,1,0,0,0,1,3,0,0,0,1,3,0,0,0,0,3,0,1,1,3,9,17,13,1,0,3,9,17,13,2.7666666666666666,3.0,0.42532208548874395,9,9.0,0.0,16.066666666666666,17.0,1.7012883419549758,13,13.0,0.0,3,3,0.0,9,9,0.0,17,17,0.0,13,13,0.0,2.9615384615384617,3.0,0.19418390934515434,9.076923076923077,8.0,3.6345086451962163,21.153846153846153,20.0,8.481547711574251,13.115384615384615,12.0,3.644247931525151,2.388888888888889,2.0,0.6076849889141857,10.88888888888889,8.5,4.825043601008595,16.22222222222222,16.0,6.063929570011954,14.444444444444445,12.5,5.772370521536927,0.27078363968249414,0.575801492131657,0.5779836831281885,0.5264722247234186,0.5265535017757996,0.5685141712303516,0.6496114311066489,0.4275451635433107,0.4268736228848307,0.35370672639530015,0.5354439340945718,0.3178975527103764,0.3201239663790298,0.2655002506868309,0.26549187905785226,0.3099589915901559,0.3973736929398771,0.6775242235514178,0.6765110637999738,0.6093885591793416,0.27498458635607076,0.0023768507291729896,0.05352824624207008,0.05352448158190015,0.008042413382333078,0.08268724886166617,0.9388182523884646,0.9374024973059678,0.8806277491415739,0.04383255273560276,0.05590938643977441,0.05590904555361779,0.010430302031071214,0.08031530868134655,0.940597117822617,0.9391785152885497,0.8824895138811225,0.046240355617308326,6.343940781774522e-07,0.04548549117541631,0.13598143860448206,0.8981845132097712,0.8968315603944514,0.8381004326019185,0.009704667473605742,0.045497723173395684,0.1359821000154004,0.8981856508497967,0.8968310888150447,0.8381079345256598,0.009686647696240024,0.09069303558207459,0.9328079201498743,0.9314019199423073,0.8743313020710728,0.03581873140159296,0.9975812212885191,0.9960717048654029,0.9425444010601316,0.1263626605100222,0.0021358336951380658,0.07716777658577058,0.9056228320989016,0.07712145748552429,0.9042798124794976,0.8458897167424347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,37,90,52,18,37,90,1,1,0,0,8,7,7,1,1,6,2,5.5,9,4,1.8929694486000912,2,1,0,5,0,0,0,0,8.0,0,phish
0,0,5,5,3,24,1,1,0,0,0,1,5,0,0,0,1,3,0,0,0,0,0,0,1,1,3,5,13,9,1,1,3,5,13,9,3,3.0,0.0,5,5.0,0.0,13,13.0,0.0,9,9.0,0.0,3,3.0,0.0,5,5.0,0.0,13,13.0,0.0,9,9.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2.75,3.0,0.45226701686664544,9.916666666666666,8.0,6.6940724570776835,16.916666666666668,16.0,5.5833898685514,13.916666666666666,12.0,6.6940724570776835,0.28004064940937823,0.5826462437871666,0.5827422713733983,0.4705085182545401,0.47053267146575034,0.2907893640518337,0.5920832295777695,0.3360350594387744,0.14402577286692347,0.14394112478627988,0.25517330872628496,0.3158737940352389,0.31597624155249976,0.19701891866640242,0.19708208761531887,0.5591783766803566,0.32601349947325575,0.6014658336053126,0.1374709612906278,0.13755591439996429,0.525585820997084,1.5840502068922298e-06,0.12079258864799867,0.12076948303981465,0.8351962608457755,0.010366838125261766,0.8722052820335273,0.44845092819864196,0.4484476663602708,0.8056128296313823,0.12078618621179661,0.12079640846886601,0.8352092572184563,0.010364000078943938,0.872198868540389,0.44844730811483613,0.44844840166519234,0.8055956394062456,4.723716045160369e-05,0.73467645576167,0.1311149971181155,0.7739336320003161,0.3323175894066489,0.33228233462723294,0.7033666573656391,0.7346634204003666,0.1310688441668643,0.7739658958260655,0.3322665415831506,0.33230602427556316,0.7033871277422615,0.843543828613794,0.0464022696225587,0.43020875088718513,0.43020430104452245,0.03632999489887198,0.8803464374070473,0.4582549273740371,0.4582726579460131,0.8141089783700848,0.47419030550045055,0.4741860892521695,0.08270978942073026,0.0,0.3954509707225344,0.3954451325224246,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,36,0,12,18,36,0,0,0,0,1,6,0,1,1,3,1,5.666666666666667,8,4,1.699673171197595,1,0,0,2,1,0,0,1,8.0,0,phish
0,0,0,6,3,22,1,1,0,0,0,1,5,0,0,0,0,2,0,0,0,0,2,0,1,0,3,6,14,10,1,0,3,6,14,10,3,3.0,0.0,6,6.0,0.0,14.045454545454545,14.0,0.3692744729379982,10,10.0,0.0,3,3.0,0.0,6,6.0,0.0,16.8125,17.0,0.75,10,10.0,0.0,3,3,0.0,9.307692307692308,9,3.301126458867624,20.76923076923077,21,4.657500154837109,13.538461538461538,13,3.152125859780576,2.75,3.0,0.4472135954999579,8.375,8.5,1.5864005379054391,15.125,16.0,2.6299556396765835,12.375,12.5,1.5864005379054391,0.025499252439700998,0.5919803025968945,0.5920283688867648,0.5413450993384369,0.5413811151611032,0.27186254252684766,0.6808853997811947,0.6812432543183686,0.5568617636587012,0.26094555651161594,0.27157088023327797,0.5686911666276783,0.5687163322668792,0.5177262832132372,0.5177051623808651,0.29673043701293744,0.6585740714667765,0.6588683504382179,0.5333647909159809,0.2859052246614874,0.2964980023789457,6.900540958951911e-07,0.05529038390814854,0.05527663507772916,0.8278461470890053,0.10108346309000912,0.10110795871283967,0.03846674381765381,0.8188719536037997,0.8276129454065992,0.055286347499180606,0.055295069400182445,0.8278480258676426,0.10108344200584106,0.10110762478095812,0.03846584942430448,0.8188692996281708,0.8276179626608567,2.596738447045322e-06,0.7823828929270777,0.1560041490696033,0.1560455587293692,0.016812341881841483,0.7731782595658434,0.7821491587245794,0.7823987260743169,0.1559925034285678,0.15606119422590606,0.016802867578620453,0.7731645519225612,0.7821479104433958,0.905731483085146,0.9061068840829863,0.7963492051991594,0.011034811315360568,0.00028035589736515325,0.0005896344106674075,0.1393193810458797,0.8972575136609592,0.9055045077746938,0.13936137838897678,0.8976320601398757,0.9058865687848324,0.7872028587634603,0.7961056145643232,0.010746688806122864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,66,13,16,16,66,0,0,0,0,3,18,1,1,1,2,1,8.0,10,6,2.0,1,0,0,2,0,0,0,0,10.0,0,phish
0,0,0,14,8,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,14,27,18,1,0,3,14,27,18,3,3,0.0,14,14,0.0,24.358490566037737,22,2.9554014410556655,18,18,0.0,3,3,0.0,14,14,0.0,26.705882352941178,27,1.2126781251816647,18,18,0.0,2.9911504424778763,3,0.09407208683835973,8.610619469026549,7,3.381762083796447,19.38053097345133,18,6.862577847685951,12.584070796460177,11,3.4218981358430245,2.84,3,0.37416573867739417,8,7,2.9297326385411577,16.36,17,3.486641172628274,12.24,11,3.7112441759244748,0.025203339410106593,0.5499947275336508,0.5500110360731909,0.5689660843738922,0.5688715101966381,0.5674291066621827,0.6128309994178429,0.3979489861510142,0.3982065305626499,0.6767134928403457,0.5514651534050361,0.5266499898107481,0.5266338782275312,0.5456486829274974,0.5457071145393936,0.5442230150344762,0.5899874523330075,0.4220441607222792,0.4223886284031091,0.6545019051077545,0.5284459045675668,2.302024444079775e-06,0.020634139339728335,0.020614970006291637,0.01903311645962426,0.06889843700644276,0.8934017758655239,0.8939869338050724,0.14126557013366609,0.002022689937710935,0.020617566863089184,0.020625735299089818,0.019030835432299095,0.06889666341778329,0.8934033469707031,0.8939894209557684,0.14126560230195098,0.002102459884141868,1.1138740091547712e-05,0.0015915014308527631,0.04829753543688225,0.9092439537163506,0.9098435828482258,0.12076355330684625,0.01878582246132636,0.0015890073145824132,0.04829395812426566,0.9092534482429908,0.9098374494765489,0.12076737589717967,0.018617426874220612,0.049886885941536646,0.9080249434977277,0.9086263873445439,0.1223519084850017,0.017097230348059506,0.9455937262381704,0.9462130996640309,0.07264453831580292,0.06699012523209721,0.0009276099888762667,0.9970006294157323,0.8949457209590508,0.9976566208428189,0.8955131395658082,0.13937030128316633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,53,113,25,17,53,0,0,0,0,1,2,10,1,1,2,3,11.0,14,8,3.0,2,0,0,3,0,0,0,0,11.0,0,phish
0,0,0,10,3,11,1,1,0,0,0,1,3,0,0,0,0,2,0,0,0,0,0,0,1,0,3,10,18,14,1,0,3,10,18,14,3,3,0.0,10,10,0.0,18,18,0.0,14,14,0.0,3,3,0.0,10,10,0.0,18.133333333333333,18,0.5163977794943222,14,14,0.0,3,3.0,0.0,10.020833333333334,9.0,4.013220616451587,21.520833333333332,21.0,8.325785588985514,14.145833333333334,13.0,3.930186413928346,3,3,0.0,9.380952380952381,9,1.2031704150364766,17.38095238095238,17,1.2031704150364766,13.380952380952381,13,1.2031704150364766,0.013637524249762079,0.17343774299091644,0.17336162183536188,0.5448867383839202,0.5449029663195507,0.560424334900093,0.677779644870659,0.39715408957689374,0.6095576697676504,0.3132362351469552,0.5753180248560542,0.16830331686915526,0.1620067214467255,0.5322940582185108,0.5322199865364119,0.5478585441587757,0.6658550573716142,0.41018845136744553,0.5972122286244468,0.3266284680314958,0.5627190965567302,0.008055126337942056,0.38386010089115913,0.38356963800714033,0.3949588972786928,0.5122272861088693,0.5636325530894526,0.4392991703827417,0.48336395618779715,0.4055160471584076,0.38415652019731916,0.37018492986831136,0.4022328002732877,0.5174723823230354,0.5622437490243354,0.4486200913513215,0.48149192119582074,0.41641035070121085,4.1925132676335165e-05,0.016886094037964747,0.14806187911434607,0.8888536200000241,0.07083089829829801,0.8204070202225989,0.03315046223906615,0.01688394496243969,0.14806425920932148,0.888840076737183,0.07080379680627956,0.8204036250846953,0.03313748670749829,0.1312865413074079,0.9019091923569441,0.053901870934997466,0.8341277977791409,0.016231022440514702,0.9978760917587846,0.07759265473273054,0.9355176903014528,0.11513249290810794,0.9427049100797095,0.08683933875191771,0.9143443555918261,0.8770536215185754,0.03766577707301399,0.8471944910847415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,15,121,48,21,15,121,0,0,0,0,1,10,13,1,1,2,1,8.0,10,6,2.0,1,0,0,2,0,0,0,0,10.0,0,phish
0,0,4,5,3,104,1,1,0,0,0,1,8,0,0,7,1,7,0,0,0,0,0,0,1,1,3,5,13,9,1,1,3,5,13,9,3,3,0.0,5,5,0.0,13.11111111111111,13,0.7391922813166882,9,9,0.0,3,3.0,0.0,5,5.0,0.0,13,13.0,0.0,9,9.0,0.0,3,3,0.0,9.4,9,1.51657508881031,19,17,3.082207001484488,13.4,13,1.51657508881031,2,2,1.0,9.6,10,0.8944271909999159,10.8,12,10.52140675005011,8,12,7.3484692283495345,0.18563837030413105,0.6939800439874463,0.6936976875214707,0.5503436103901412,0.5503437374877602,0.30132010048624314,0.3793583394632033,0.6944305805340453,0.17309334997180836,0.4888124964830829,0.4919849202515119,0.5264722955086556,0.5261330238234826,0.3716626187964656,0.37183613746931576,0.48022112667768446,0.5552655172706319,0.524086051674251,0.35593125386082997,0.31038575146460895,0.3135390867161382,0.0006384404612430228,0.16056148522769878,0.16056129222616597,0.9402157780030204,0.998069858366824,0.0008377950546995515,0.8393449424091655,0.22596809478636,0.2226677902605736,0.16049644773058885,0.16049643305525554,0.939790411665097,0.997618742053789,0.0014761933690940635,0.838965200552729,0.22585558420256213,0.22260023459399406,1.3328003749250113e-07,0.8152653063523706,0.8792000588352439,0.16065000439016122,0.7055978587871413,0.0661209107104517,0.06275089739211663,0.8152694593184996,0.8792000850259696,0.16064990554575337,0.7056030147127228,0.0661362398739442,0.06272567207659366,0.08061192635357278,0.9407745705973686,0.12998369132085152,0.7603607359134072,0.7631938602652472,0.998662215811614,0.20995071988007097,0.8265090844134584,0.8292586126394489,0.839837482527289,0.2261405696992116,0.2227818588454418,0.647511675959043,0.6505401050983819,0.0033980942078199127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,40,171,5,5,40,171,1,1,1,1,10,3,3,1,1,12,5,7.0,13,2,2.943920288775949,5,3,1,7,1,0,0,1,8.6,0,phish
0,0,13,5,3,147,0,1,0,0,0,1,5,0,0,5,1,12,0,0,0,0,0,0,1,1,3,5,16,12,1,1,3,5,16,12,3,3.0,0.0,5,5.0,0.0,16.833333333333332,16.0,1.8439088914585775,12,12.0,0.0,3,3,0.0,5,5,0.0,16,16,0.0,12,12,0.0,3,3,0.0,8.586206896551724,8,4.101543623871647,18.75862068965517,17,4.517072158677511,12.793103448275861,12,4.038911719977722,2.9166666666666665,3.0,0.28867513459481287,7.166666666666667,7.0,2.4058010698889443,17.833333333333332,16.5,4.608950449117916,11.916666666666666,11.5,2.274696116900546,0.28699334105239177,0.6852929376212099,0.6852899448757853,0.5151339066668887,0.5150970597490967,0.3046983262402233,0.30500083071709067,0.3889509467833804,0.29803059583922037,0.28479030075137685,0.5470640792120731,0.4202456817527293,0.42015853948162435,0.23715967303240534,0.23701080189613064,0.5787058161522929,0.5789758946386353,0.6562133709148253,0.5723507669941241,0.5600748248406674,0.2709820120244899,8.429369702178807e-08,0.18813607787410894,0.18812821738121263,0.9354444688572635,0.9356608699717514,0.9974054152078232,0.9303166307165702,0.9200958267788113,0.15388280713473032,0.18813429966270018,0.18811238703121766,0.9354451211363092,0.9356608142155132,0.9974055345228736,0.9303177596056765,0.9200777500837901,0.1538682624478088,5.1522173576961526e-05,0.7868215025633063,0.7870494635146689,0.8564878362520665,0.7811128554666886,0.7697911531725992,0.034536255338466305,0.7867664464350503,0.7870419517601744,0.8564778763642069,0.7811253590034365,0.7697852807216241,0.034580189640514916,0.00029788336904250357,0.0873408554263384,0.006819085309420547,0.020388409628651433,0.8152627915705605,0.08706200977090085,0.007117524459079286,0.020656355703705914,0.8154794993392769,0.09414204950192033,0.10765065514997757,0.8836252418253723,0.013550733880854036,0.8096425418117901,0.798490104670326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,35,36,29,12,35,36,0,0,0,0,1,26,4,1,1,17,4,5.882352941176471,8,2,1.6044919643512772,4,3,0,10,1,3,3,1,7.75,0,phish
0,0,10,3,13,53,1,0,0,0,0,2,1,0,0,0,5,2,0,1,2,3,0,0,1,5,3,3,21,7,1,2,3,3,21,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.389446057874094e-05,0.611768119151642,0.2992861347706837,0.1855647304008587,0.18557947273024789,0.15632578994018734,0.15628935690136722,0.1563636514509664,0.1563292785626436,0.15632518436917045,0.1562752971316062,0.6118085114576165,0.2992960127046166,0.1855293145955107,0.18561669795038113,0.15631479748403868,0.15634209433551433,0.1563137640611492,0.15625140346102828,0.15634400320413475,0.15627128852028968,0.8677234514941823,0.7737759645124758,0.7737670723552039,0.46708533345007874,0.4670914542002173,0.4671023497809956,0.46709562284312584,0.46707889063953667,0.46709463694167097,0.11531729906829088,0.11535572866054782,0.4502054223406467,0.4501983676317307,0.45022034287732937,0.4502009330553098,0.4501983488670308,0.4502057995228282,1.7222751535988998e-05,0.339398544301564,0.3393649444742729,0.33935557554789253,0.33933039482891686,0.3393601589115846,0.33940423637045,0.3393399839492805,0.3393385536332876,0.33939594743963264,0.3393611051988879,0.3393440434459921,0.33939479894949354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,7.0,9,4,1.8708286933869707,3,0,0,4,1,1,1,1,8.0,0,phish
